"query"	"MpTak_v6.1"
"Mp1g05180"	"Mp1g05180"
"Mp1g05190"	"Mp1g05190"
"Mp1g05200"	"Mp1g05200"
"Mp1g05210"	"Mp1g05210"
"Mp1g05220"	"Mp1g05220"
"Mp1g05230"	"Mp1g05230"
"Mp1g05240"	"Mp1g05240"
"Mp1g05250"	"Mp1g05250"
"Mp1g05260"	"Mp1g05260"
"Mp1g05270"	"Mp1g05270"
"Mp1g05280"	"Mp1g05280"
"Mp1g05290"	"Mp1g05290"
"Mp1g05300"	"Mp1g05300"
"Mp1g05310"	"Mp1g05310"
"Mp1g05320"	"Mp1g05320"
"Mp1g05330"	"Mp1g05330"
"Mp1g05340"	"Mp1g05340"
"Mp1g05350"	"Mp1g05350"
"Mp1g05360"	"Mp1g05360"
"Mp1g05370"	"Mp1g05370"
"Mp1g05380"	"Mp1g05380"
"Mp1g05390"	"Mp1g05390"
"Mp1g05400"	"Mp1g05400"
"Mp1g05410"	"Mp1g05410"
"Mp1g05420"	"Mp1g05420"
"Mp1g05430"	"Mp1g05430"
"Mp1g05440"	"Mp1g05440"
"Mp1g05450"	"Mp1g05450"
"Mp1g05460"	"Mp1g05460"
"Mp1g05470"	"Mp1g05470"
"Mp1g05480"	"Mp1g05480"
"Mp1g05490"	"Mp1g05490"
"Mp1g05500"	"Mp1g05500"
"Mp1g05510"	"Mp1g05510"
"Mp1g05520"	"Mp1g05520"
"Mp1g05530"	"Mp1g05530"
"Mp1g05540"	"Mp1g05540"
"Mp1g05550"	"Mp1g05550"
"Mp1g05560"	"Mp1g05560"
"Mp1g05570"	"Mp1g05570"
"Mp1g05580"	"Mp1g05580"
"Mp1g05590"	"Mp1g05590"
"Mp1g05600"	"Mp1g05600"
"Mp1g05610"	"Mp1g05610"
"Mp1g05620"	"Mp1g05620"
"Mp1g05630"	"Mp1g05630"
"Mp1g05640"	"Mp1g05640"
"Mp1g05650"	"Mp1g05650"
"Mp1g05660"	"Mp1g05660"
"Mp1g05670"	"Mp1g05670"
"Mp1g05680"	"Mp1g05680"
"Mp1g05690"	"Mp1g05690"
"Mp1g05700"	"Mp1g05700"
"Mp1g05710"	"Mp1g05710"
"Mp1g05720"	"Mp1g05720"
"Mp1g05730"	"Mp1g05730"
"Mp1g05740"	"Mp1g05740"
"Mp1g05750"	"Mp1g05750"
"Mp1g05760"	"Mp1g05760"
"Mp1g05770"	"Mp1g05770"
"Mp1g05780"	"Mp1g05780"
"Mp1g05790"	"Mp1g05790"
"Mp1g05800"	"-"
"Mp1g05810"	"Mp1g05810"
"Mp1g05815"	"Mp1g05815"
"Mp1g05820"	"-"
"Mp1g05830"	"Mp1g05830"
"Mp1g05840"	"Mp1g05840"
"Mp1g05850"	"Mp1g05850"
"Mp1g05860"	"-"
"Mp1g05870"	"Mp1g05870"
"Mp1g05880"	"Mp1g05880"
"Mp1g05890"	"Mp1g05890"
"Mp1g05900"	"Mp1g05900"
"Mp1g05910"	"Mp1g05910"
"Mp1g05920"	"Mp1g05920"
"Mp1g05925"	"Mp1g05925"
"Mp1g05930"	"Mp1g05930"
"Mp1g05940"	"Mp1g05940"
"Mp1g05950"	"Mp1g05950"
"Mp1g05955"	"Mp1g05955"
"Mp1g05960"	"Mp1g05960"
"Mp1g05970"	"Mp1g05970"
"Mp1g05980"	"Mp1g05980"
"Mp1g05985"	"Mp1g05985"
"Mp1g05990"	"Mp1g05990"
"Mp1g06000"	"Mp1g06000"
"Mp1g06010"	"Mp1g06010"
"Mp1g06020"	"Mp1g06020"
"Mp1g06030"	"Mp1g06030"
"Mp1g06040"	"Mp1g06040"
"Mp1g06050"	"Mp1g06050"
"Mp1g06060"	"Mp1g06060"
"Mp1g06070"	"-"
"Mp1g06080"	"Mp1g06080"
"Mp1g06090"	"Mp1g06090"
"Mp1g06100"	"Mp1g06100"
"Mp1g06110"	"Mp1g06110"
"Mp1g06120"	"Mp1g06120"
"Mp1g06130"	"Mp1g06130"
"Mp1g06140"	"Mp1g06140"
"Mp1g06150"	"Mp1g06150"
"Mp1g06160"	"Mp1g06160"
"Mp1g06165a"	"Mp1g06165a"
"Mp1g06170"	"Mp1g06170"
"Mp1g06180"	"Mp1g06180"
"Mp1g06190"	"Mp1g06190"
"Mp1g06200"	"Mp1g06200"
"Mp1g06210"	"Mp1g06210"
"Mp1g06220"	"Mp1g06220"
"Mp1g06230"	"Mp1g06230"
"Mp1g06240"	"Mp1g06240"
"Mp1g06250"	"Mp1g06250"
"Mp1g06260"	"Mp1g06260"
"Mp1g06270"	"Mp1g06270"
"Mp1g06280"	"Mp1g06280"
"Mp1g06290"	"Mp1g06290"
"Mp1g06300"	"-"
"Mp1g06310"	"Mp1g06310"
"Mp1g06320"	"Mp1g06320"
"Mp1g06330"	"Mp1g06330"
"Mp1g06340"	"Mp1g06340"
